date,version,prev_date,prev_version,change,name,diff
2025-07-21,1.0.57,2025-07-18,1.0.56,added,ExitPlanMode,versions/2025-07-21_1.0.57/diff-from-2025-07-18_1.0.56.md
2025-07-21,1.0.57,2025-07-18,1.0.56,removed,exit_plan_mode,versions/2025-07-21_1.0.57/diff-from-2025-07-18_1.0.56.md
2025-07-21,1.0.57,2025-07-18,1.0.56,modified,Task,versions/2025-07-21_1.0.57/diff-from-2025-07-18_1.0.56.md
2025-07-22,1.0.58,2025-07-21,1.0.57,modified,Read,versions/2025-07-22_1.0.58/diff-from-2025-07-21_1.0.57.md
2025-07-24,1.0.60,2025-07-23,1.0.59,modified,Task,versions/2025-07-24_1.0.60/diff-from-2025-07-23_1.0.59.md
2025-07-30,1.0.64,2025-07-29,1.0.63,modified,Task,versions/2025-07-30_1.0.64/diff-from-2025-07-29_1.0.63.md
2025-08-04,1.0.68,2025-07-31,1.0.65,removed,NotebookRead,versions/2025-08-04_1.0.68/diff-from-2025-07-31_1.0.65.md
2025-08-04,1.0.68,2025-07-31,1.0.65,modified,Bash,versions/2025-08-04_1.0.68/diff-from-2025-07-31_1.0.65.md
2025-08-04,1.0.68,2025-07-31,1.0.65,modified,Read,versions/2025-08-04_1.0.68/diff-from-2025-07-31_1.0.65.md
2025-08-05,1.0.69,2025-08-04,1.0.68,modified,TodoWrite,versions/2025-08-05_1.0.69/diff-from-2025-08-04_1.0.68.md
2025-08-07,1.0.71,2025-08-06,1.0.70,modified,Task,versions/2025-08-07_1.0.71/diff-from-2025-08-06_1.0.70.md
2025-08-08,1.0.72,2025-08-07,1.0.71,added,BashOutput,versions/2025-08-08_1.0.72/diff-from-2025-08-07_1.0.71.md
2025-08-08,1.0.72,2025-08-07,1.0.71,added,KillBash,versions/2025-08-08_1.0.72/diff-from-2025-08-07_1.0.71.md
2025-08-08,1.0.72,2025-08-07,1.0.71,modified,Bash,versions/2025-08-08_1.0.72/diff-from-2025-08-07_1.0.71.md
2025-08-08,1.0.72,2025-08-07,1.0.71,modified,Task,versions/2025-08-08_1.0.72/diff-from-2025-08-07_1.0.71.md
2025-08-12,1.0.77,2025-08-11,1.0.73,modified,Task,versions/2025-08-12_1.0.77/diff-from-2025-08-11_1.0.73.md
2025-08-13,1.0.80,2025-08-12,1.0.77,modified,Task,versions/2025-08-13_1.0.80/diff-from-2025-08-12_1.0.77.md
2025-08-14,1.0.81,2025-08-13,1.0.80,modified,Bash,versions/2025-08-14_1.0.81/diff-from-2025-08-13_1.0.80.md
2025-08-14,1.0.81,2025-08-13,1.0.80,modified,Task,versions/2025-08-14_1.0.81/diff-from-2025-08-13_1.0.80.md
2025-08-20,1.0.86,2025-08-19,1.0.85,modified,TodoWrite,versions/2025-08-20_1.0.86/diff-from-2025-08-19_1.0.85.md
2025-08-24,1.0.90,2025-08-22,1.0.88,modified,TodoWrite,versions/2025-08-24_1.0.90/diff-from-2025-08-22_1.0.88.md
2025-09-04,1.0.106,2025-08-27,1.0.94,removed,LS,versions/2025-09-04_1.0.106/diff-from-2025-08-27_1.0.94.md
2025-09-04,1.0.106,2025-08-27,1.0.94,modified,Bash,versions/2025-09-04_1.0.106/diff-from-2025-08-27_1.0.94.md
2025-09-04,1.0.106,2025-08-27,1.0.94,modified,Read,versions/2025-09-04_1.0.106/diff-from-2025-08-27_1.0.94.md
2025-09-04,1.0.106,2025-08-27,1.0.94,modified,Task,versions/2025-09-04_1.0.106/diff-from-2025-08-27_1.0.94.md
2025-09-08,1.0.109,2025-09-04,1.0.106,modified,Bash,versions/2025-09-08_1.0.109/diff-from-2025-09-04_1.0.106.md
2025-09-10,1.0.111,2025-09-09,1.0.110,modified,Task,versions/2025-09-10_1.0.111/diff-from-2025-09-09_1.0.110.md
2025-09-13,1.0.113,2025-09-12,1.0.112,added,KillShell,versions/2025-09-13_1.0.113/diff-from-2025-09-12_1.0.112.md
2025-09-13,1.0.113,2025-09-12,1.0.112,removed,KillBash,versions/2025-09-13_1.0.113/diff-from-2025-09-12_1.0.112.md
2025-09-23,1.0.123,2025-09-19,1.0.120,added,SlashCommand,versions/2025-09-23_1.0.123/diff-from-2025-09-19_1.0.120.md
2025-09-23,1.0.123,2025-09-19,1.0.120,modified,Bash,versions/2025-09-23_1.0.123/diff-from-2025-09-19_1.0.120.md
2025-09-25,1.0.124,2025-09-23,1.0.123,modified,Bash,versions/2025-09-25_1.0.124/diff-from-2025-09-23_1.0.123.md
2025-09-26,1.0.126,2025-09-25,1.0.124,modified,Bash,versions/2025-09-26_1.0.126/diff-from-2025-09-25_1.0.124.md
2025-09-29,2.0.0,2025-09-26,1.0.126,removed,MultiEdit,versions/2025-09-29_2.0.0/diff-from-2025-09-26_1.0.126.md
2025-09-29,2.0.0,2025-09-26,1.0.126,modified,Bash,versions/2025-09-29_2.0.0/diff-from-2025-09-26_1.0.126.md
2025-10-04,2.0.8,2025-10-02,2.0.5,modified,Bash,versions/2025-10-04_2.0.8/diff-from-2025-10-02_2.0.5.md
2025-10-04,2.0.8,2025-10-02,2.0.5,modified,Glob,versions/2025-10-04_2.0.8/diff-from-2025-10-02_2.0.5.md
2025-10-04,2.0.8,2025-10-02,2.0.5,modified,Read,versions/2025-10-04_2.0.8/diff-from-2025-10-02_2.0.5.md
2025-10-04,2.0.8,2025-10-02,2.0.5,modified,SlashCommand,versions/2025-10-04_2.0.8/diff-from-2025-10-02_2.0.5.md
2025-10-04,2.0.8,2025-10-02,2.0.5,modified,Task,versions/2025-10-04_2.0.8/diff-from-2025-10-02_2.0.5.md
2025-10-06,2.0.9,2025-10-04,2.0.8,modified,SlashCommand,versions/2025-10-06_2.0.9/diff-from-2025-10-04_2.0.8.md
2025-10-07,2.0.10,2025-10-06,2.0.9,modified,ExitPlanMode,versions/2025-10-07_2.0.10/diff-from-2025-10-06_2.0.9.md
2025-10-09,2.0.12,2025-10-08,2.0.11,modified,SlashCommand,versions/2025-10-09_2.0.12/diff-from-2025-10-08_2.0.11.md
2025-10-14,2.0.15,2025-10-10,2.0.14,modified,ExitPlanMode,versions/2025-10-14_2.0.15/diff-from-2025-10-10_2.0.14.md
2025-10-15,2.0.17,2025-10-14,2.0.15,modified,Task,versions/2025-10-15_2.0.17/diff-from-2025-10-14_2.0.15.md
2025-10-15,2.0.19,2025-10-15,2.0.17,modified,SlashCommand,versions/2025-10-15_2.0.19/diff-from-2025-10-15_2.0.17.md
2025-10-15,2.0.19,2025-10-15,2.0.17,modified,Task,versions/2025-10-15_2.0.19/diff-from-2025-10-15_2.0.17.md
2025-10-16,2.0.20,2025-10-15,2.0.19,added,Skill,versions/2025-10-16_2.0.20/diff-from-2025-10-15_2.0.19.md
2025-10-16,2.0.21,2025-10-16,2.0.20,modified,ExitPlanMode,versions/2025-10-16_2.0.21/diff-from-2025-10-16_2.0.20.md
2025-10-20,2.0.24,2025-10-17,2.0.22,modified,Bash,versions/2025-10-20_2.0.24/diff-from-2025-10-17_2.0.22.md
2025-10-21,2.0.25,2025-10-20,2.0.24,modified,Bash,versions/2025-10-21_2.0.25/diff-from-2025-10-20_2.0.24.md
