date,version,models,tool_count,deferred_tool_count,mcp_advertised,mcp_deferred,system_prompt_chars,user_prompt_chars,skill_count,reminder_count
2025-10-06,2.0.9,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,12800,,,0
2025-10-07,2.0.10,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,12800,,,0
2025-10-08,2.0.11,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,9163,,,0
2025-10-09,2.0.12,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,9164,,,0
2025-10-09,2.0.13,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,9164,,,0
2025-10-10,2.0.14,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,9583,,,0
2025-10-14,2.0.15,claude-3-5-haiku-20241022|claude-sonnet-4-5-20250929,15,0,0,0,9583,,,0
2025-10-15,2.0.17,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,15,0,0,0,10177,,,0
2025-10-15,2.0.19,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,15,0,0,0,9851,,,0
2025-10-16,2.0.20,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,9851,,,0
2025-10-16,2.0.21,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,9851,,,0
2025-10-17,2.0.22,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,9851,,,0
2025-10-20,2.0.24,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10017,,,0
2025-10-21,2.0.25,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10017,,,0
2025-10-24,2.0.27,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10017,,,0
2025-10-27,2.0.28,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10152,,,0
2025-10-30,2.0.30,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10358,,,0
2025-10-31,2.0.31,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10511,,,0
2025-11-03,2.0.32,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10511,,,0
2025-11-04,2.0.33,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10510,,,0
2025-11-05,2.0.34,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10515,,,0
2025-11-06,2.0.35,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10515,,,0
2025-11-07,2.0.36,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10512,,,0
2025-11-10,2.0.37,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10512,,,0
2025-11-14,2.0.41,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10500,,,0
2025-11-14,2.0.42,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10500,,,0
2025-11-17,2.0.43,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,10990,,,0
2025-11-18,2.0.45,claude-haiku-4-5-20251001|claude-sonnet-4-5-20250929,16,0,0,0,11229,,,0
2025-11-19,2.0.46,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-11-19,2.0.47,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-11-21,2.0.49,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-11-21,2.0.50,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-11-24,2.0.51,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-11-24,2.0.52,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-11-25,2.0.54,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-11-26,2.0.55,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
2025-12-01,2.0.56,claude-haiku-4-5-20251001,0,0,0,0,0,,,0
